strain	ori	ter	genomesize	cdscumskew
11LoS11_3.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5360374	9090768	130
11LoS11_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3761575	9275523	261
11LoS11_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4535545	9127867	80
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4603171	9195493	139
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4659419	9251741	224
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4643754	9236076	137
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4551886	9144208	104
11LoS11_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4091538	8683860	67
11LoS18_3.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3613110	8189105	-105
11LoS18_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4619367	8373860	-245
11LoS18_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4471711	8226204	112
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4539337	8293830	171
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4595585	8350078	256
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4579920	8334413	169
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4488052	8242545	136
11LoS18_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4027704	7782197	99
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4088737	8158498	-4
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4088729	8291162	-49
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4088738	7940410	4
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4088733	7901041	45
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4088729	8291163	-47
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4088717	8303557	-32
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4340185	8425831	34
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4122462	8356885	-88
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4068396	8140058	-3
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4057008	8455145	-128
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4054891	8153751	-55
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4092904	7933785	-38
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4115185	8258085	-43
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4107224	8076150	6
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4091855	8247693	-52
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4072695	8150762	-21
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4057642	8139033	-4
11LoS34_10.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3506762	8076584	-100
11LoS34_10.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4656411	8261339	-310
11LoS34_10.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4508755	8113683	47
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4576381	8181309	106
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4632629	8237557	191
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4616964	8221892	104
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4525096	8130024	71
11LoS34_10.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4064748	7669676	34
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4003648	8045977	3
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4003640	8178641	-42
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4003649	7827889	11
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4003644	7788520	52
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4003640	8178642	-40
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4003628	8191036	-25
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4255096	8313310	41
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4037373	8244364	-81
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3983307	8027537	4
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3971919	8342624	-121
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3969802	8041230	-48
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4007815	7821264	-31
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4030096	8145564	-36
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4022135	7963629	13
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4006766	8135172	-45
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3987606	8038241	-14
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3972553	8026512	3
11LoS34_2.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3395268	8124685	-66
11LoS34_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4591721	8309440	-306
11LoS34_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4444065	8161784	51
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4511691	8229410	110
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4567939	8285658	195
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4552274	8269993	108
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4460406	8178125	75
11LoS34_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4000058	7717777	38
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3895814	8094078	13
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3895806	8226742	-32
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3895815	7875990	21
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3895810	7836621	62
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3895806	8226743	-30
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3895794	8239137	-15
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4147262	8361411	51
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3929539	8292465	-71
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3875473	8075638	14
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3864085	8390725	-111
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3861968	8089331	-38
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3899981	7869365	-21
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3922262	8193665	-26
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3914301	8011730	23
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3898932	8183273	-35
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3879772	8086342	-4
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3864719	8074613	13
11LoS34_4.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3532684	8132012	-50
11LoS34_4.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4685326	8316767	-258
11LoS34_4.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4537670	8169111	99
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4605296	8236737	158
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4661544	8292985	243
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4645879	8277320	156
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4554011	8185452	123
11LoS34_4.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4093663	7725104	86
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3991801	8101405	53
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3991793	8234069	8
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3991802	7883317	61
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3991797	7843948	102
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3991793	8234070	10
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3991781	8246464	25
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4243249	8368738	91
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4025526	8299792	-31
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3971460	8082965	54
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3960072	8398052	-71
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3957955	8096658	2
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3995968	7876692	19
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4018249	8200992	14
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4010288	8019057	63
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3994919	8190600	5
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3975759	8093669	36
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3960706	8081940	53
11LoS34_6.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3504362	8074269	-98
11LoS34_6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4654099	8259024	-312
11LoS34_6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4506443	8111368	45
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4574069	8178994	104
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4630317	8235242	189
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4614652	8219577	102
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4522784	8127709	69
11LoS34_6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4062436	7667361	32
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4001248	8043662	5
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4001240	8176326	-40
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4001249	7825574	13
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4001244	7786205	54
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4001240	8176327	-38
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4001228	8188721	-23
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4252696	8310995	43
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4034973	8242049	-79
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3980907	8025222	6
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3969519	8340309	-119
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3967402	8038915	-46
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4005415	7818949	-29
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4027696	8143249	-34
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4019735	7961314	15
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4004366	8132857	-43
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3985206	8035926	-12
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3970153	8024197	5
11LoS7_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3776667	8474729	125
11LoS7_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4732744	8659484	-416
11LoS7_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4585088	8511828	-59
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4652714	8579454	0
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4708962	8635702	85
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4693297	8620037	-2
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4601429	8528169	-35
11LoS7_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4141081	8067821	-72
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4444267	8444122	256
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4444259	8576786	211
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4444268	8226034	264
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4444263	8186665	305
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4444259	8576787	213
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4444247	8589181	228
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4695715	8711455	294
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4477992	8642509	172
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4423926	8425682	257
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4412538	8740769	132
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4410421	8439375	205
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4448434	8219409	222
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4470715	8543709	217
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4462754	8361774	266
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4447385	8533317	208
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4428225	8436386	239
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4413172	8424657	256
13LoS100_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3766587	8498861	-342
13LoS100_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4540557	8351205	15
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4608183	8418831	74
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4664431	8475079	159
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4648766	8459414	72
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4556898	8367546	39
13LoS100_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3766587	7907198	-148
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4156894	8283499	-3
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4156886	8416163	-48
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4156895	8065411	5
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4156890	8026042	46
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4156886	8416164	-46
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4156874	8428558	-31
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4408342	8550832	35
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4190619	8481886	-87
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4136553	8265059	-2
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4125165	8580146	-127
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4123048	8278752	-54
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4161061	8058786	-37
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4183342	8383086	-42
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4175381	8201151	7
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4160012	8372694	-51
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4140852	8275763	-20
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4125799	8264034	-3
13LoS28_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4236794	7837326	79
13LoS28_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3452223	8022081	285
13LoS28_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3452223	7874425	-72
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3452223	7942051	-131
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3452223	7998299	-216
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3452223	7982634	-129
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3452223	7890766	-96
13LoS28_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3452223	7430418	-59
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3730877	7806719	-10
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3863549	7939383	35
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3512788	7588631	-18
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3473424	7549262	-59
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3863550	7939384	33
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3875956	7951778	18
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3746762	8074052	-48
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3895539	8005106	74
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3732778	7788279	-11
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4059253	8103366	114
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3759976	7801972	41
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3501997	7582006	24
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3804016	7906306	29
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3630042	7724371	-20
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3816954	7895914	38
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3739183	7798983	7
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3742507	7787254	-10
13LoS70_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4651010	8076343	71
13LoS70_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3489615	8261098	-343
13LoS70_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3489615	8113442	-162
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3489615	8181068	-221
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3489615	8237316	-306
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3489615	8221651	-219
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3489615	8129783	-186
13LoS70_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3489615	7669435	-149
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4179402	8045736	48
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4312074	8178400	93
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3961313	7827648	40
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3921949	7788279	-1
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4312075	8178401	91
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4324481	8190795	76
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4195287	8313069	10
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4344064	8244123	132
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4181303	8027296	47
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4507778	8342383	172
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4208501	8040989	99
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3950522	7821023	82
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4252541	8145323	87
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4078567	7963388	38
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4265479	8134931	96
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4187708	8038000	65
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4191032	8026271	48
